implementation,dataset,processes,px,py,pz,iteration,nx,ny,nz,timesteps,read_time,main_time,total_time,wall_time
coll_IO_der,../data/data_64_64_96_7.bin,1,1,1,1,0,64,64,96,7,0.0141,0.0362,0.0503,.700259030
coll_IO_der,../data/data_64_64_96_7.bin,1,1,1,1,1,64,64,96,7,0.0126,0.0351,0.0478,1.027520488
coll_IO_der,../data/data_64_64_96_7.bin,1,1,1,1,2,64,64,96,7,0.0089,0.0362,0.0451,1.029739374
coll_IO_der,../data/data_64_64_96_7.bin,1,1,1,1,3,64,64,96,7,0.0126,0.0356,0.0482,1.044506660
coll_IO_der,../data/data_64_64_96_7.bin,1,1,1,1,4,64,64,96,7,0.0102,0.0359,0.0460,1.037920203
send,../data/data_64_64_96_7.bin,1,1,1,1,0,64,64,96,7,0.0243,0.0357,0.0600,1.049959161
send,../data/data_64_64_96_7.bin,1,1,1,1,1,64,64,96,7,0.0174,0.0359,0.0533,1.036412322
send,../data/data_64_64_96_7.bin,1,1,1,1,2,64,64,96,7,0.0160,0.0356,0.0517,1.048994529
send,../data/data_64_64_96_7.bin,1,1,1,1,3,64,64,96,7,0.0161,0.0358,0.0519,1.046920859
send,../data/data_64_64_96_7.bin,1,1,1,1,4,64,64,96,7,0.0179,0.0360,0.0539,1.040381083
ind_IO,../data/data_64_64_96_7.bin,1,1,1,1,0,64,64,96,7,0.0182,0.0354,0.0536,1.032860415
ind_IO,../data/data_64_64_96_7.bin,1,1,1,1,1,64,64,96,7,0.0176,0.0355,0.0530,1.044695225
ind_IO,../data/data_64_64_96_7.bin,1,1,1,1,2,64,64,96,7,0.0176,0.0354,0.0531,1.047216317
ind_IO,../data/data_64_64_96_7.bin,1,1,1,1,3,64,64,96,7,0.0171,0.0357,0.0528,1.050345779
ind_IO,../data/data_64_64_96_7.bin,1,1,1,1,4,64,64,96,7,0.0173,0.0354,0.0527,1.030007897
ind_IO_der,../data/data_64_64_96_7.bin,1,1,1,1,0,64,64,96,7,0.0103,0.0355,0.0458,1.039775608
ind_IO_der,../data/data_64_64_96_7.bin,1,1,1,1,1,64,64,96,7,0.0122,0.0353,0.0475,1.045489402
ind_IO_der,../data/data_64_64_96_7.bin,1,1,1,1,2,64,64,96,7,0.0124,0.0356,0.0480,1.035813095
ind_IO_der,../data/data_64_64_96_7.bin,1,1,1,1,3,64,64,96,7,0.0125,0.0355,0.0480,1.029114141
ind_IO_der,../data/data_64_64_96_7.bin,1,1,1,1,4,64,64,96,7,0.0125,0.0353,0.0478,1.044335768
isend,../data/data_64_64_96_7.bin,1,1,1,1,0,64,64,96,7,0.0167,0.0360,0.0527,1.056298450
isend,../data/data_64_64_96_7.bin,1,1,1,1,1,64,64,96,7,0.0164,0.0362,0.0527,1.044419696
isend,../data/data_64_64_96_7.bin,1,1,1,1,2,64,64,96,7,0.0162,0.0359,0.0521,1.048602737
isend,../data/data_64_64_96_7.bin,1,1,1,1,3,64,64,96,7,0.0176,0.0366,0.0543,1.042716227
isend,../data/data_64_64_96_7.bin,1,1,1,1,4,64,64,96,7,0.0167,0.0363,0.0531,1.042153061
coll_IO_der,../data/data_64_64_96_7.bin,2,1,2,1,0,64,64,96,7,0.0233,0.0185,0.0418,1.047004047
